Sp  Age     0     1     2  Tot sp      0     1     2  T.Sit 0       0     1     2  T.Sit 1  Disp.Med.  Cant.Disp.
 0  148  6313  3167  3433   12913   3587  2209  2470    8266     2726   958   963    4647              0           0
 0  149  5090  3722  4060   12872   2804  2557  2909    8270     2286  1165  1151    4602             19        2411
 0  150  3670  3782  4005   11457   2111  2581  2870    7562     1559  1201  1135    3895             20        2126
 0  151  3162  3473  3668   10303   1961  2383  2624    6968     1201  1090  1044    3335              0           0
 0  152  6465  3209  3415   13089   3662  2202  2451    8315     2803  1007   964    4774              0           0
 0  153  5370  3658  4059   13087   2959  2512  2924    8395     2411  1146  1135    4692             20        2598
 0  154  3912  3690  4044   11646   2227  2533  2902    7662     1685  1157  1142    3984             20        2271
 0  155  3329  3393  3741   10463   2026  2339  2694    7059     1303  1054  1047    3404              0           0
 0  156  6419  3116  3473   13008   3655  2173  2509    8337     2764   943   964    4671              0           0
 0  157  5186  3732  4101   13019   2843  2601  2940    8384     2343  1131  1161    4635             20        2552
 0  158  3720  3771  4065   11556   2126  2627  2913    7666     1594  1144  1152    3890             19        2205
 0  159  3190  3454  3734   10378   1954  2418  2678    7050     1236  1036  1056    3328              0           0
 0  160  6396  3194  3480   13070   3676  2248  2508    8432     2720   946   972    4638              0           0
 0  161  5156  3795  4058   13009   2811  2634  2941    8386     2345  1161  1117    4623             22        2563
 0  162  3737  3778  4091   11606   2144  2588  2954    7686     1593  1190  1137    3920             19        2146
 0  163  3213  3475  3762   10450   1980  2392  2718    7090     1233  1083  1044    3360              0           0
 0  164  6426  3180  3520   13126   3669  2194  2549    8412     2757   986   971    4714              0           0
 0  165  5202  3765  4125   13092   2813  2629  2943    8385     2389  1136  1182    4707             19        2618
 0  166  3813  3768  4111   11692   2122  2592  2944    7658     1691  1176  1167    4034             20        2266
 0  167  3209  3505  3805   10519   1932  2419  2726    7077     1277  1086  1079    3442              0           0
 0  168  6372  3241  3525   13138   3587  2244  2537    8368     2785   997   988    4770              0           0
 0  169  5231  3762  4162   13155   2853  2566  2987    8406     2378  1196  1175    4749             19        2579
 0  170  3826  3782  4132   11740   2152  2565  2957    7674     1674  1217  1175    4066             19        2187
 0  171  3246  3463  3837   10546   1979  2346  2746    7071     1267  1117  1091    3475              0           0
 0  172  6437  3211  3554   13202   3641  2189  2561    8391     2796  1022   993    4811              0           0
 0  173  5338  3721  4201   13260   2873  2530  3024    8427     2465  1191  1177    4833             21        2575
 0  174  3875  3737  4195   11807   2173  2535  2999    7707     1702  1202  1196    4100             19        2269
 0  175  3321  3441  3875   10637   1993  2340  2778    7111     1328  1101  1097    3526              0           0
 0  176  6483  3199  3620   13302   3664  2179  2598    8441     2819  1020  1022    4861              0           0
 0  177  5275  3823  4214   13312   2902  2557  3018    8477     2373  1266  1196    4835             20        2576
 0  178  3849  3829  4160   11838   2221  2549  2964    7734     1628  1280  1196    4104             21        2243
 0  179  3316  3489  3853   10658   2046  2342  2755    7143     1270  1147  1098    3515              0           0
 0  180  6400  3235  3552   13187   3726  2182  2554    8462     2674  1053   998    4725              0           0
 0  181  5246  3779  4131   13156   2888  2612  2941    8441     2358  1167  1190    4715             20        2553
 0  182  3772  3784  4106   11662   2137  2613  2903    7653     1635  1171  1203    4009             20        2185
 0  183  3204  3509  3803   10516   1952  2432  2695    7079     1252  1077  1108    3437              0           0
 0  184  6350  3233  3532   13115   3639  2262  2512    8413     2711   971  1020    4702              0           0
 0  185  5201  3720  4185   13106   2874  2588  2957    8419     2327  1132  1228    4687             19        2606
 0  186  3775  3758  4109   11642   2141  2608  2886    7635     1634  1150  1223    4007             21        2177
 0  187  3227  3441  3812   10480   1978  2401  2685    7064     1249  1040  1127    3416              0           0
 0  188  6467  3160  3556   13183   3678  2221  2498    8397     2789   939  1058    4786              0           0
 0  189  5244  3725  4181   13150   2852  2581  2963    8396     2392  1144  1218    4754             20        2614
 0  190  3813  3684  4173   11670   2143  2545  2982    7670     1670  1139  1191    4000             19        2148
 0  191  3235  3406  3873   10514   1976  2376  2775    7127     1259  1030  1098    3387              0           0
 0  192  6429  3113  3590   13132   3675  2173  2575    8423     2754   940  1015    4709              0           0
 0  193  5237  3729  4209   13175   2826  2578  3011    8415     2411  1151  1198    4760             20        2616
 0  194  3803  3758  4134   11695   2146  2598  2960    7704     1657  1160  1174    3991             19        2149
 0  195  3239  3452  3812   10503   1951  2392  2730    7073     1288  1060  1082    3430              0           0
 0  196  6482  3168  3561   13211   3723  2209  2559    8491     2759   959  1002    4720              0           0
 0  197  5262  3702  4178   13142   2867  2567  3000    8434     2395  1135  1178    4708             19        2602
 0  198  3829  3717  4132   11678   2175  2572  2953    7700     1654  1145  1179    3978             19        2234
 0  199  3252  3372  3790   10414   1969  2348  2709    7026     1283  1024  1081    3388              0           0
 0  200  6353  3094  3512   12959   3627  2166  2525    8318     2726   928   987    4641              0           0
 0  201  5165  3724  4116   13005   2817  2579  2942    8338     2348  1145  1174    4667             19        2431
 0  202  3749  3708  4076   11533   2168  2531  2907    7606     1581  1177  1169    3927             19        2155
 0  203  3233  3416  3765   10414   1995  2335  2694    7024     1238  1081  1071    3390              0           0
 0  204  6446  3184  3492   13122   3699  2179  2502    8380     2747  1005   990    4742              0           0
 0  205  5325  3711  4073   13109   2887  2589  2907    8383     2438  1122  1166    4726             20        2549
 0  206  3878  3739  4079   11696   2181  2605  2889    7675     1697  1134  1190    4021             20        2197
 0  207  3298  3453  3750   10501   1998  2419  2659    7076     1300  1034  1091    3425              0           0
 0  208  6439  3203  3498   13140   3635  2265  2497    8397     2804   938  1001    4743              0           0
 0  209  5160  3735  4193   13088   2784  2581  3013    8378     2376  1154  1180    4710             20        2654
 0  210  3810  3724  4122   11656   2128  2571  2941    7640     1682  1153  1181    4016             19        2211
